MBTI,Trait,Weight
ISFJ,신뢰할 수 있는 조언자,0.51
ISFJ,상대방의 행복 추구,0.5
ISFJ,상대방의 성장을 지원,0.49
ISFJ,상대방의 감정에 민감함,0.48
ISFJ,상대방의 필요에 민감함,0.47
ISFJ,상대방의 의견 존중,0.46
ISFJ,상대방의 기분을 이해함,0.45
ISFJ,상대방의 감정에 공감함,0.44
ISFJ,상대방의 행복을 중요시함,0.43
ISFJ,상대방의 성장을 도와줌,0.42
ISFJ,상대방의 감정에 귀 기울임,0.41
